school,department_name,harvard_equivalent,nih_2020
East Carolina-Brody,ANATOMY AND CELL BIOLOGY,CB,971760
Kansas,ANATOMY AND CELL BIOLOGY,CB,6778858
Rutgers New Jersey,CELL BIOLOGY AND MOLECULAR MEDICINE,CB;BCMP,6653778
Mississippi,CELL AND MOLECULAR BIOLOGY,CB;BCMP,NA
Texas Tech,CELL BIOLOGY AND BIOCHEMISTRY,CB;BCMP,1693583
Southern Cal-Keck,MOLECULAR MICROBIOLOGY AND IMMUNOLOGY,Mb;Imm,16069265
Boston,BIOCHEMISTRY,BCMP,10050695
Mount Sinai-Icahn,CELL DEVELOPMENTAL AND REGENERATIVE BIOLOGY,CB;SCRB,12602947
Harvard,BIOMEDICAL INFORMATICS,DBMI,9119329
Columbia-Vagelos,BIOMEDICAL INFORMATICS,DBMI,NA
Ohio State,BIOMEDICAL INFORMATICS,DBMI,1883598
Stanford,CENTER FOR BIOMEDICAL INFORMATICS RESEARCH,DBMI,394250
U Washington,BIOMEDICAL INFORMATICS AND MEDICAL EDUCATION,DBMI,2705098
Illinois,MEDICAL INFORMATION SCIENCE,DBMI,NA
Illinois,BIOMEDICAL SCIENCES,DBMI,375765
Temple-Katz,CENTER FOR BIOSTATISTICS AND EPIDEMIOLOGY,DBMI,NA
Dartmouth-Geisel,BIOMEDICAL DATA SCIENCE,DBMI,3432974
Pittsburgh,BIOMEDICAL INFORMATICS,DBMI,2762547
Emory,BIOMEDICAL INFORMATICS,DBMI,1828356
Rochester,BIOSTATISTICS AND COMPUTATIONAL BIOLOGY,DBMI,2142593
Vanderbilt,BIOMEDICAL INFORMATICS,DBMI,58810395
Wisconsin,BIOSTATISTICS AND MED INFORMATICS,DBMI,5154287
West Virginia,HEALTH INFORMATICS AND INFORMATION MANAGEMENT,DBMI,NA
Buffalo-Jacobs,BIOMEDICAL INFORMATICS,DBMI,384989
Oregon,MEDICAL INFORMATICS AND CLINICAL EPIDEMIOLOGY,DBMI,2578126
Utah,BIOMEDICAL INFORMATICS,DBMI,1955437
UT San Antonio-Long,EPIDEMIOLOGY AND BIOSTATISTICS,DBMI,1098410
Renaissance Stony Brook,BIOMEDICAL INFORMATICS,DBMI,643291
Florida,HEALTH OUTCOMES AND BIOMEDICAL INFORMATICS,DBMI,2302075
Geisigner Commonwealth,TRANSLATIONAL DATA SCIENCE AND INFORMATICS,DBMI,NA
Missouri Kansas City,BIOMEDICAL AND HEALTH INFORMATICS,DBMI,686578
Arkansas,BIOMEDICAL INFORMATICS,DBMI,1622255
Mayo-Alix,ARTIFICIAL INTELLIGENCE AND INFORMATICS,DBMI,NA
UT Southwestern,BIOINFORMATICS,DBMI,1137823
Western Michigan-Stryker,BIOMEDICAL INFORMATICS,DBMI,NA
Southern Illinois,INFORMATION AND COMMUNICATION SCIENCES,DBMI,NA
Arizona,BIOMEDICAL INFORMATICS,DBMI,NA
Kansas,BIOSTATISTICS AND DATA SCIENCE,DBMI,NA
Georgetown,BIOSTATISTICS BIOINFORMATICS AND BIOMATHEMATICS,DBMI,NA
